StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,11:50:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,11:40:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,10:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,11:30:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,11:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-23,11:10:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,10:51:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,10:36:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,11:10:00,,,Enterococcus,87,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,10:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,11:12:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-05-31,10:20:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,10:26:00,,,Enterococcus,140,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,10:20:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,9:46:00,,,Enterococcus,160,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,10:07:00,,,Enterococcus,75,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,9:50:00,,,Enterococcus,180,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-06,10:13:00,,,Enterococcus,64,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:00:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:25:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:05:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-07,12:15:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,11:10:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,11:05:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,10:37:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,10:57:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,10:39:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-13,10:50:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,10:34:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,10:25:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,9:53:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,10:19:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,9:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,10:12:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,10:14:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,10:06:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:38:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:58:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:40:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:52:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:02:00,,,Enterococcus,24200,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:20:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:16:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,10:14:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,10:08:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:44:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:58:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:46:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:52:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:18:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:10:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:44:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:04:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:46:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:56:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:36:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:08:00,,,Enterococcus,220,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:25:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:06:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:15:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-01,10:15:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-01,10:10:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-01,9:45:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-01,9:47:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-01,10:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,10:25:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,10:15:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,9:50:00,,,Enterococcus,120,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,10:07:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,9:25:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-08,10:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,10:06:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,10:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,9:32:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,9:52:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,9:34:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-15,9:48:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,10:10:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,10:02:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,9:37:00,,,Enterococcus,180,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,9:55:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,9:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-22,9:48:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,10:23:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,10:15:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,9:53:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,10:08:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,9:54:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-08-29,10:05:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:45:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:12:00,,,Enterococcus,53,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:10:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-22,11:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,11:08:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,10:59:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,10:29:00,,,Enterococcus,87,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,10:52:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,10:31:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-05-30,10:43:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:40:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:36:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:08:00,,,Enterococcus,31,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:08:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-05,10:22:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:50:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:44:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:10:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:36:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:12:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-12,10:28:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,10:13:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,10:05:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,9:41:00,,,Enterococcus,120,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,9:59:00,,,Enterococcus,87,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,9:43:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-19,9:55:00,,,Enterococcus,53,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,10:35:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,10:28:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,9:42:00,,,Enterococcus,150,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,10:00:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,9:42:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-06-26,9:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:38:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:05:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:23:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:05:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-05,10:19:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,10:17:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,10:10:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,9:46:00,,,Enterococcus,99,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,10:03:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,9:48:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-12,9:56:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-19,10:33:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-19,10:28:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-19,10:05:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-19,10:22:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2017-07-19,10:04:00,,,Enterococcus,1,,,,,,,,,
